SiteID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,ADBSegName,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,LatDD,LonDD,IsRiffle,IsPublicLand,CurrentStatus
807,Coal Creek,FKF,What Cheer,Headwater,Fishkill Followup,2018,IA 03-NSK-0039_0,Coal Creek,47f,Keokuk,Mississippi,12.095,Warm Water,huc070801060501,4582621,554728,41.39326,-92.34535,N/A,False,Survey Site
808,Mosquito Creek,FKF,Bagley,Wadeable,Fishkill Followup,2015,IA 04-RAC-02401_0,Mosquito Creek,47b,Guthrie,Mississippi,36.934,Warm Water,huc071000070501,4632794,385368,41.83874,-94.38065,Undetermined,False,Survey Site
809,Lake Creek,FKF,Lake City,Wadeable,Fishkill Followup,1163,IA 04-RAC-0130_2,Lake Creek,47b,Calhoun,Mississippi,122.225,Warm Water,huc071000060605,4682179,356937,42.2787,-94.73501,Undetermined,False,Survey Site
810,Unnamed Creek - Drainage Ditch 3,FKF,Charles City,Wadeable,Fishkill Followup,583,IA 02-CED-0505_1,Unnamed Creek (aka Drainage Ditch 3),47c,Floyd,Mississippi,20.874,Warm Water,huc070802011002,4767860,525367,43.06301,-92.68846,Undetermined,False,Survey Site
811,South Skunk River,ISU1,Hinds Research Farm,Wadeable,ISU Stream Ecology,934,IA 03-SSK-0030_2,South Skunk River,47b,Story,Mississippi,318.022,Warm Water,huc070801050406,4657046,448717,42.0638,-93.61984,No,False,Survey Site
812,Dye Creek,,Colo,Headwater,Headwater Reference Study,6466,IA 03-SSK-0052_0,Dye Creek,47b,Story,Mississippi,6.898,Warm Water,huc070801050603,4653991,474013,42.03753,-93.31397,No,False,Candidate Reference Site
813,Crabapple Creek,,Whittier,Headwater,Headwater Reference Study,502,IA 02-CED-0207_0,Crabapple Creek,47c,Linn,Mississippi,7.358,Warm Water,huc070802060201,4659597,622912,42.07883,-91.51405,Yes,False,Candidate Reference Site
814,Doe Creek,,Littleport,Headwater,Headwater Reference Study,300,IA 01-VOL-0040_0,Doe Creek,52b,Clayton,Mississippi,6.226,Warm Water,huc070600040608,4731871,633649,42.72771,-91.36751,N/A,False,Candidate Reference Site
815,Unnamed Tributary to Volga River,UTVR2,Volga,Headwater,Headwater Reference Study,311,IA 01-VOL-0104_0,Unnamed Creek,52b,Clayton,Mississippi,4.922,Warm Water,huc070600040604,4743667,617482,42.83655,-91.56246,N/A,False,Candidate Reference Site
816,Little Beaver Creek,,Eldora,Headwater,Headwater Reference Study,6467,IA 02-IOW-0293_0,Little Beaver Creek,47b,Hardin,Mississippi,8.945,Warm Water,huc070802070502,4689968,487573,42.36188,-93.15091,Undetermined,False,Candidate Reference Site
817,Rock Creek,,Anthon,Headwater,Headwater Reference Study,6468,IA 06-LSR-0025_0,Rock Creek,47e,Woodbury,Missouri,7.312,Warm Water,huc102300031503,4702762,263979,42.44126,-95.86969,N/A,False,Candidate Reference Site
818,Little Indian Creek,,Red Oak,Headwater,Headwater Reference Study,6470,IA 05-NSH-0129_0,Little Indian Creek,47e,Montgomery,Missouri,7.253,Warm Water,huc102400020401,4550738,302870,41.08401,-95.34684,N/A,False,Candidate Reference Site
819,Stowe Creek,,Pisgah,Headwater,Headwater Reference Study,6471,IA 06-SOL-0012_0,Stowe Creek,47e,Harrison,Missouri,13.958,Warm Water,huc102300010605,4638664,259768,41.86342,-95.89441,N/A,False,Candidate Reference Site
820,Unnamed Tributary to East Branch Iowa River,,Goodell,Headwater,Headwater Reference Study,6472,IA 02-IOW-0385_0,Unnamed Tributary to East Branch Iowa River,47b,Hancock,Mississippi,8.137,Warm Water,huc070802070205,4756526,453538,42.95996,-93.56965,No,False,Candidate Reference Site
821,Lime Creek,,Ryan,Headwater,Headwater Reference Study,6473,IA 01-MAQ-0215_0,Lime Creek,47c,Delaware,Mississippi,4.63,Warm Water,huc070600060401,4687025,633194,42.32408,-91.38351,Undetermined,False,Candidate Reference Site
