MONIT_STATION_SEQ_NO,DTRSQQ_CODE,COUNTY_CODE,COUNTY_NAME,WBIC,OFFICIAL_WATERBODY_NAME,REGION_CODE,WSHED_CODE,GMU_CODE,WMU_CODE,HUC_CODE,ECO_REGION_CODE,STREAM_ORDER_NO,NATURAL_COMMUNITY,TEMPERATURE_CLASS,HYDRO_ID,CALC_LL_LAT_DD_AMT,CALC_LL_LONG_DD_AMT
11675563,NA,13,Dane,1249200,Vermont Creek,SC,LW17,LW,LW,07070005,52,3,COOL-COLD MAINSTEM,Cool-Cold,200027115,43.11876,-89.756645
17816024,NA,42,Monroe,1697800,Clear Creek,WC,BR04,BT,BR,07040007,51,4,COOL-WARM MAINSTEM,Cool-Warm,200078273,44.153774,-90.706474
17815196,NA,50,Portage,5016307,Unnamed,WC,CW11,CW,CW,07070003,51,2,COOL-COLD HEADWATER,Cool-Cold,200112110,44.58367,-89.78415
102410,228022434,10,Clark,1752900,Popple River,WC,BR11,BT,BR,07040007,51,"5, 5",COOL-COLD MAINSTEM,Cool,"200132053, 600091794",44.886173,-90.571526
16106749,NA,72,Wood,1352800,Yellow River,WC,CW05,CW,CW,07070003,51,4,COOL-COLD HEADWATER,Cool-Cold,200115536,44.634842,-90.25352
100770,227060621,18,Eau Claire,2154000,Alder Creek,WC,LC19,LC,LC,07050005,51,"2, 2",COOL-COLD HEADWATER,Cool-Cold,200130543,44.856853,-91.15824
17816142,NA,23,Green,893200,Hawthorne Creek,SC,SP01,GP,SP,07090003,53,2,COOL-WARM HEADWATER,Cool-Warm,200002720,42.56094,-89.67589
10046329,NA,67,Washington,865700,Kohlsville R-S Channel,SE,UR13,UR,UR,07090001,53,NA,NA,NA,200042845,43.47123,-88.326485
3565,227071744,18,Eau Claire,2129400,Beaver Creek,WC,LC14,LC,LC,07050006,51,4,COOL-COLD MAINSTEM,Cool-Cold,200127921,44.814518,-91.24745
153755,NA,51,Price,2252000,Sailor Creek,NO,UC10,UC,UC,07050003,50,4,COOL-WARM MAINSTEM,Cool-Warm,200183058,45.8587,-90.33583
153761,NA,43,Oconto,480900,South Branch Oconto River,NE,GB06,UG,GB,04030104,50,3,COOL-COLD MAINSTEM,Cool-Cold,200149761,45.1551,-88.60404
153633,NA,37,Marathon,1431400,Unnamed,WC,CW18,CW,CW,07070002,51,1,MACROINVERTEBRATE,Cool-Warm,200131129,44.873295,-90.31364
4194,205032234,22,Grant,964300,Rogers Br,SC,GP06,GP,GP,07060003,52,4,COOL-COLD MAINSTEM,Cool-Cold,200017467,42.8880891,-90.7168059
100633,222123113,6,Buffalo,1814100,Mill Creek,WC,BT07,BT,BT,07040003,52,3,COOL-COLD MAINSTEM,Cool-Cold,200094886,44.34355,-91.87793
17817711,NA,6,Buffalo,1817700,Threemile Creek,WC,BT07,BT,BT,07040003,52,3,COLDWATER,Cold,200104496,44.45594,-91.62535
100529,411182822,67,Washington,866800,Limestone Creek,SE,UR13,UR,UR,07090001,53,"3, 3",COOL-WARM HEADWATER,Cool-Warm,200039448,43.398945,-88.35936
17816619,NA,54,Rock,878700,Norwegian Creek,SC,SP12,GP,SP,07090004,53,3,COLDWATER,Cold,200007161,42.672577,-89.360085
